date,xicheng,dongcheng,haidian
01/01/1949,1,0,0
01/01/1950,0,0,0
01/01/1951,1,0,0
01/01/1952,0,0,0
01/01/1953,0,0,0
01/01/1954,0,0,0
01/01/1955,0,0,0
01/01/1956,2,0,0
01/01/1957,0,0,0
01/01/1958,0,0,0
01/01/1959,0,0,0
01/01/1960,2,1,1
01/01/1961,0,0,0
01/01/1962,0,0,0
01/01/1963,0,0,0
01/01/1964,0,0,0
01/01/1965,0,2,0
01/01/1966,0,0,0
01/01/1967,0,0,0
01/01/1968,0,0,0
01/01/1969,0,0,0
01/01/1970,2,4,0
01/01/1971,0,0,0
01/01/1972,1,0,1
01/01/1973,0,0,0
01/01/1974,1,0,0
01/01/1975,2,0,0
01/01/1976,0,2,0
01/01/1977,0,0,0
01/01/1978,4,0,0
01/01/1979,6,1,2
01/01/1980,6,10,7
01/01/1981,7,0,2
01/01/1982,12,3,7
01/01/1983,10,5,4
01/01/1984,8,1,1
01/01/1985,12,13,15
01/01/1986,4,0,11
01/01/1987,12,3,4
01/01/1988,8,6,17
01/01/1989,6,6,14
01/01/1990,26,11,44
01/01/1991,6,5,11
01/01/1992,22,8,21
01/01/1993,15,3,13
01/01/1994,9,6,16
01/01/1995,24,18,32
01/01/1996,11,11,30
01/01/1997,10,3,17
01/01/1998,27,15,44
01/01/1999,28,24,67
01/01/2000,192,119,260
01/01/2001,53,69,118
01/01/2002,31,17,37
01/01/2003,30,28,49
01/01/2004,23,26,63
01/01/2005,15,15,40
01/01/2006,6,8,28
01/01/2007,10,7,13
01/01/2008,5,13,24
01/01/2009,5,6,20
01/01/2010,6,3,18
01/01/2011,4,0,18
01/01/2012,1,2,12
01/01/2013,7,1,5
01/01/2014,2,1,14
01/01/2015,0,0,11
01/01/2016,0,1,1
01/01/2017,0,0,5
01/01/2018,0,0,4